1,2,0.61,0.35,1,0
1,1,0.72,0.07000000000000001,2,0
1,1,0.61,0.82,3,0
1,1,0.68,0.82,4,0
1,1,0.23,0.92,5,1
1,1,0.61,0.79,6,0
1,2,0.65,0.25,7,1
1,1,0.43,0.57,8,0
1,1,0.9399999999999999,0.73,9,0
1,1,0.8,0.59,10,0
1,1,0.64,0.75,11,0
1,1,0.5,0.62,12,0
1,1,0.96,0.72,13,1
1,1,0.76,0.35,14,0
1,2,0.78,0.57,15,1
1,1,0.6,0.42,16,0
1,1,0.73,0.76,17,0
1,1,0.39,0.43,18,0
1,1,0.73,0.52,19,0
1,1,0.36,0.62,20,0
1,1,0.39,0.29,21,1
1,1,0.21,0.28,22,0
1,2,0.37,0.31,23,1
1,2,0.5,0.63,24,0
1,2,0.09,0.47,25,0
1,1,0.32,0.58,26,0
1,2,0.09,0.87,27,0
1,2,0.4,0.5600000000000001,28,0
1,2,0.4,0.51,29,1
1,2,0.37,0.82,30,0
1,1,0.41,0.47,31,1
1,2,0.32,0.78,32,0
1,2,0.28,0.65,33,0
1,2,0.4,0.4,34,0
1,2,0.24,0.66,35,0
1,2,0.37,0.6899999999999999,36,0
1,2,0.34,0.46,37,1
1,1,0.23,0.73,38,0
1,2,0.47,0.34,39,1
1,2,0.85,0.15,40,0
1,1,0.77,0.73,41,0
1,1,0.98,0.75,42,0
1,1,0.75,0.41,43,0
1,1,0.72,0.5600000000000001,44,0
1,1,0.78,0.06,45,1
1,1,0.43,0.27,46,0
1,2,0.24,0.29,47,1
1,1,0.32,0.38,48,0
1,1,0.14,0.6899999999999999,49,0
1,1,0.42,0.32,50,0
1,1,0.28,0.12,51,0
1,2,0.13,0.34,52,0
1,2,0.5600000000000001,0.38,53,1
1,2,0.23,0.71,54,0
1,1,0.14,0.32,55,1
1,2,0.46,0.49,56,0
2,1,0.75,0.92,1,0
2,2,0.54,0.31,2,0
2,2,0.84,0.5600000000000001,3,1
2,1,0.43,0.6899999999999999,4,0
2,2,0.6899999999999999,0.5600000000000001,5,1
2,1,0.8100000000000001,0.92,6,0
2,2,0.98,0.5600000000000001,7,0
2,1,0.49,0.97,8,0
2,1,0.72,0.67,9,0
2,1,0.42,0.75,10,0
2,1,0.22,0.75,11,1
2,2,0.4,0.72,12,0
2,1,0.42,0.45,13,1
2,2,0.12,0.71,14,0
2,2,0.21,0.67,15,0
2,2,0.43,0.86,16,0
2,2,0.33,0.61,17,0
2,2,0.2,0.84,18,0
2,2,0.65,0.73,19,1
2,2,0.35,0.82,20,0
2,1,0.46,0.84,21,1
2,2,0.09,0.29,22,0
2,2,0.38,0.09,23,0
2,2,0.74,0.42,24,0
2,2,0.46,0.52,25,0
2,2,0.61,0.51,26,0
2,2,0.8,0.62,27,1
2,2,0.65,0.78,28,0
2,1,0.9399999999999999,0.26,29,1
2,1,0.6899999999999999,0.53,30,0
2,1,0.65,0.02,31,0
2,1,0.71,0.12,32,0
2,1,0.49,0.16,33,0
2,1,0.61,0.52,34,0
2,1,0.71,0.34,35,1
2,1,0.8100000000000001,0.14,36,0
2,2,0.8100000000000001,0.32,37,1
2,1,0.47,0.98,38,0
2,1,0.5,0.65,39,0
2,2,0.62,0.42,40,0
2,2,0.53,0.32,41,0
2,1,0.75,0.71,42,0
2,1,0.22,0.37,43,1
2,2,0.17,0.61,44,0
2,1,0.29,0.24,45,1
2,2,0.44,0.05,46,0
2,2,0.25,0.04,47,0
2,1,0.11,0.3,48,0
